band,venue,date,note
Japanese Breakfast,Union Transfer,8/8/21,
Mannequin Pussy,Union Transfer,8/8/21,
Oso Oso,The Foundry,3/11/20,
Prince Daddy & the Hyena,The Foundry,3/11/20,
Just Friends,The Foundry,3/11/20,
Sincere Engineer,The Foundry,3/11/20,
Indigo De Souza,First Unitarian Church,1/20/20,
The Menzingers,Franklin Music Hall,11/29/19,
Harvey and the High Lifers,Franklin Music Hall,11/29/19,
Tigers Jaw,Franklin Music Hall,11/29/19,
Microwave,The Foundry,11/23/19,
Heart Attack Man,The Foundry,11/23/19,
La Dispute,Union Transfer,11/20/19,
Touche Amore,Union Transfer,11/20/19,
La Dispute,Union Transfer,11/20/19,
Touche Amore,Union Transfer,11/20/19,
Empath,Union Transfer,11/20/19,
Pup,Franklin Music Hall,9/11/19,
Illuminati Hotties,Franklin Music Hall,9/11/19,
AJJ,Franklin Music Hall,9/11/19,
Pedro the Lion,Variety Playhouse,8/22/19,
mewithoutYou,Variety Playhouse,8/22/19,
Hot Water Music,Underground Arts,6/22/19,
Boysetsfire,Underground Arts,6/22/19,
Restorations,Underground Arts,6/22/19,
Pedro the Lion,Union Transfer,5/7/19,
John Vanderslice,Union Transfer,5/7/19,
La Dispute,Union Transfer,4/21/19,
Gouge Away,Union Transfer,4/21/19,
Slow Mass,Union Transfer,4/21/19,
Touche Amore,First Unitarian Church,3/10/19,
Pianos Become the Teeth,First Unitarian Church,3/10/19,
Circa Survive,The Fillmore,12/1/18,
La Dispute,The Fillmore,12/1/18,
Hop Along,Union Transfer,5/19/18,
Eight,Union Transfer,5/19/18,
Nervous Dater,Union Transfer,5/19/18,
Moose Blood,Theatre of Living Arts,3/16/18,
McCafferty,Theatre of Living Arts,3/16/18,
McCafferty,Everybody Hits,12/10/17,
Heart Attack Man,Everybody Hits,12/10/17,
Caracara,Everybody Hits,12/10/17,
The Front Bottoms,The Fillmore,11/22/17,
Modern Baseball,Union Transfer,10/14/17,
McCafferty,PhilaMOCA,9/5/17,
Remo Drive,PhilaMOCA,9/5/17,
Alcoa,The Boot & Saddle,3/20/17,
Josh Garrels,Union Transfer,2/19/17,
John Mark McMillian,Union Transfer,2/19/17,
mewithoutYou,The Boot & Saddle,12/29/16,
Underoath,The Electric Factory,4/16/16,
Norma Jean,Voltage Lounge,4/3/16,
He is Legend,Voltage Lounge,4/3/16,
Forevermore,Voltage Lounge,4/3/16,
The Menzingers,Union Transfer,10/24/15,
mewithoutYou,Union Transfer,10/24/15,
Pianos Become the Teeth,Union Transfer,10/24/15,
Restorations,Union Transfer,10/24/15,
Being As An Ocean,The Note,10/22/13,
The Wonder Years,Theatre of Living Arts,4/19/12,
Polar Bear Club,Theatre of Living Arts,4/19/12,
Transit,Theatre of Living Arts,4/19/12,
Into It. Over It.,Theatre of Living Arts,4/19/12,
The Story So Far,Theatre of Living Arts,4/19/12,
A Loss for Words,Theatre of Living Arts,4/19/12,
The Devil Wears Prada,Crocodile Rock Cafe,3/28/12,
letlive.,Crocodile Rock Cafe,3/28/12,
Every Time I Die,Crocodile Rock Cafe,3/28/12,
"Oh, Sleeper",Crocodile Rock Cafe,3/28/12,
Anberlin,The Trocadero,9/26/11,
Johnny Flynn,World Café Live,6/1/11,
August Burns Red,Revelation Generation,9/5/10,
Anberlin,Revelation Generation,9/5/10,
A Plea For Purging,Revelation Generation,9/5/10,
Emery,Revelation Generation,9/5/10,
I Am Alpha and Omega,Revelation Generation,9/5/10,
Maylene and the Songs of Disaster,Revelation Generation,9/5/10,
MyChildren MyBride,Revelation Generation,9/5/10,
"Oh, Sleeper",Revelation Generation,9/5/10,
Showbread,Revelation Generation,9/5/10,
Sleeping Giant,Revelation Generation,9/5/10,
Texas in July,Revelation Generation,9/5/10,
The Almost,Revelation Generation,9/5/10,
The Crimson Armada,Revelation Generation,9/5/10,
The Devil Wears Prada,Revelation Generation,9/5/10,
The O.C. Supertones,Revelation Generation,9/5/10,
"Oh, Sleeper",Crocodile Rock Cafe,5/13/10,
Greeley Estates,Crocodile Rock Cafe,5/13/10,
August Burns Red,Crocodile Rock Cafe,12/1/09,
Underoath,Crocodile Rock Cafe,12/1/09,
Emery,Crocodile Rock Cafe,12/1/09,
August Burns Red,Crocodile Rock Cafe,10/10/09,
The Acacia Strain,Crocodile Rock Cafe,10/10/09,
MyChildren MyBride,Crocodile Rock Cafe,10/10/09,
Underoath,Revelation Generation,9/5/09,
And Then There Were None,Revelation Generation,9/5/09,
August Burns Red,Revelation Generation,9/5/09,
Emery,Revelation Generation,9/5/09,
Flyleaf,Revelation Generation,9/5/09,
Haste the Day,Revelation Generation,9/5/09,
Impending Doom,Revelation Generation,9/5/09,
MyChildren MyBride,Revelation Generation,9/5/09,
Norma Jean,Revelation Generation,9/5/09,
The Devil Wears Prada,Revelation Generation,9/5/09,
The Glorious Unseen,Revelation Generation,9/5/09,
A Plea For Purging,Revelation Generation,9/5/09,
I Am Alpha and Omega,Revelation Generation,9/5/09,
Parkway Drive,Crocodile Rock Cafe,4/1/09,
MyChildren MyBride,Crocodile Rock Cafe,4/1/09,
Stick To Your Guns,Crocodile Rock Cafe,4/1/09,
As I Lay Dying,Revelation Generation,9/2/08,
Flyleaf,Revelation Generation,9/2/08,
August Burns Red,Revelation Generation,9/2/08,
Norma Jean,Revelation Generation,9/2/08,
The Devil Wears Prada,Revelation Generation,9/2/08,
Emery,Revelation Generation,9/2/08,
The Almost,Revelation Generation,9/2/08,
